name,year,city,lat,lon
Саларьево,2016,Москва,55.6213417,37.4232826
Румянцево,2016,Москва,55.6329994 ,37.4418983
Технопарк,2015,Москва,55.6938972 ,37.6641998 
Котельники,2015,Москва,55.674675 ,37.8582611
Алабинская,2015,Самара,53.2006806,50.112750
Тропарёво,2014,Москва,55.6449585 ,37.4717827 
Спартак,2014,Москва,55.8176765 ,37.4345436 
Битцевский парк,2014,Москва,55.548056,37.554444
Лесопарковая,2014,Москва,55.599167,37.556944
Деловой центр,2014,Москва,55.7489,37.5391
Жулебино,2013,Москва,55.6841049 ,37.8548622 
Лермонтовский проспект,2013,Москва,55.7013664 ,37.8519974 
Авиастроительная,2013,Казань,55.854411,49.080556
Северный вокзал,2013,Казань,55.795,49.107778
Яшьлек,2013,Казань,55.776667,49.081403
Алма-Атинская,2012,Москва,55.6337395 ,37.7653084 
Бухарестская,2012,Санкт-Петербург,﻿59.88361,30.36944
Международная,2012,Санкт-Петербург,59.87000,30.37972
Пятницкое шоссе,2012,Москва,55.8536,37.3531
Горьковская,2012,Нижний Новгород,59.9561472,30.3187528
Новокосино,2012,Москва,55.745163 ,37.8639526 
Чкаловская,2012,Екатеринбург,56.80833,60.61028
Адмиралтейская,2011,Санкт-Петербург,59.936097,30.314747
Борисово,2011,Москва,55.63306,37.74333
Зябликово,2011,Москва,55.61194,37.74528
Шипиловская,2011,Москва,55.62167,37.74361
Ботаническая,2011,Екатеринбург,56.797778,60.630833
Козья слобода,2010,Казань,55.81528,49.09889
Обводный канал,2010,Санкт-Петербург,59.9146861,30.3481500
Золотая Нива,2010,Новосибирск,55.0377,82.9769
Достоевская,2010,Москва,55.78167,37.61389
Марьина роща,2010,Москва,55.793517,37.616223
Волоколамская,2009,Москва,55.83528,37.38222
Митино,2009,Москва,55.84583,37.36111
Мякинино,2009,Москва,55.82556,37.38583
Спасская,2009,Санкт-Петербург,59.9267444,30.3195472
Волковская,2008,Санкт-Петербург,59.89389,30.36889
Звенигородская,2008,Санкт-Петербург,59.9223889,30.3357222
Проспект Победы,2008,Казань,55.75000,49.20778
Славянский бульвар,2008,Москва,55.7296,37.4706
Кунцевская,2008,Москва,55.73083,37.44583
Строгино,2008,Москва,55.80389,37.40278
Российская,2007,Самара,53.2119806,50.14861
Сретенский бульвар,2007,Москва,55.76639,37.63389
Трубная,2007,Москва,55.76750,37.62167
Парнас,2006,Санкт-Петербург,60.0671389,30.3342333
Международная,2006,Москва,55.74806,37.53278
Выставочная,2005,Москва,55.74861,37.53806
Аметьево,2005,Казань,55.76500,49.16667
Горки,2005,Казань,55.76000,49.19083
Кремлёвская,2005,Казань,55.79500,49.10778
Площадь Габдуллы Тукая,2005,Казань,55.78556,49.12472
Суконная слобода,2005,Казань,55.77667,49.14333
Берёзовая роща,2005,Новосибирск,55.0434,82.9529
Комендантский проспект,2005,Санкт-Петербург,60.0099778,30.2569750
Бульвар адмирала Ушакова,2003,Москва,55.54722,37.55083
Бунинская аллея,2003,Москва,55.53806,37.51583
Улица Горчакова,2003,Москва,55.54167,37.53056
Улица Скобелевская,2003,Москва,55.548056,37.554444
Улица Старокачаловская,2003,Москва,55.56972,37.57611
Парк Победы,2003,Москва,55.73611,37.51667
Бульвар Дмитрия Донского,2002,Москва,55.56972,37.57611
Геологическая,2002,Екатеринбург,56.81778,60.60694
Московская,2002,Самара,53.202806,50.159917
Буревестник,2002,Нижний Новгород,56.3333,43.8942
Аннино,2001,Москва,55.58278,37.59667
Маршала Покрышкина,2000,Новосибирск,55.044,82.9354
Улица академика Янгеля,2000,Москва,55.59500,37.60167
