id,name,wage
1,Республика Адыгея,18800
2,Алтайский край,19000
3,Амурская область,31400
4,Архангельская область,33500
5,Астраханская область,24900
6,Республика Башкортостан,25600
7,Белгородская область,24800
8,Брянская область,18900
9,Республика Бурятия,25200
10,Республика Чечено-Ингушска,
11,Челябинская область,24200
12,Чукотский АОк,51000
13,Чувашская Республика,20900
14,Санкт-Петербург (горсовет),41300
15,Республика Дагестан,15700
16,Республика Алтай,22600
17,Республика Ингушетия,18900
18,Иркутская область,29500
19,Ивановская область,19200
20,Кабардино-Балкарская Респу,17200
21,Калининградская область,26200
22,Республика Калмыкия,18300
23,Калужская область,24600
24,Камчатская край,46000
25,Карачаево-Черкессия Респуб,16400
26,Республика Карелия,29500
27,Кемеровская область,15900
28,Хабаровский край,32000
29,Республика Хакасия,29100
30,Ханты-Мансийский АОк,56300
31,Кировская область,20800
32,Республика Коми,35800
33,Костромская область,20500
34,Краснодарский край,23500
35,Красноярский край,26600
36,Курганская область,20700
37,Курская область,20700
38,Ленинградская область,25500
39,Липецкая область,22400
40,Магаданская область,50800
41,Республика Марий Эл,19300
42,Республика Мордовия,19000
43,Московская область,38600
44,Московская область,50800
45,Мурманская область,39700
46,Ненецкий АОк,54100
47,Нижегородская область,24400
48,Республика Северная Осетия,16900
49,Новгородская область,24900
50,Новосибирская область,16000
51,Омская область,26200
52,Орловская область,15300
53,Оренбургская область,23700
54,Пензенская область,20900
55,Пермская край,24800
56,Приморский край,30900
57,Псковская область,22100
58,Ростовская область,21200
59,Рязанская область,19400
60,Сахалинская область,46600
61,Республика Саха,48600
62,Самарская область,24600
63,Саратовская область,21300
64,Смоленская область,18200
65,Ставропольский край,20000
66,Свердловская область,29800
67,Свердловская область,29800
68,Свердловская область,29800
69,Тамбовская область,19500
70,Республика Татарстан,24600
71,Томская область,29300
72,Тульская область,23200
73,Республика Тыва,27800
74,Тверская область,18300
75,Тюменская область,45600
76,Удмуртская Республика,21300
77,Ульяновская область,20800
78,Владимирская область,20700
79,Волгоградская область,21500
80,Вологодская область,26200
81,Воронежская область,23700
82,Ямало-Ненецкий АОк,64200
83,Ярославская область,24200
84,Eврейская АОб,28400
85,Забайкальский край,23000
